drahmaw28,Tolong saya mau ganti nomor hp krn nmr hp yg lama udah gak bs dipake sedangkan kode otp dikirim by sms ke nmr lama. Saya cek gak ada fitur ganti nmr atau pas mau registrasi ulang pake email keterangannya NIK sudah tefdaftar. Komplain sana sini gak ada yg bs dihubungi. Ini kalian niat gak sih buat apps nya? Punya pemerintah loh. Malu kalo kayak gini. Bikin pusing.
panda_crepes,"Tiket booster ke2 saya jd ga ada... WA ga bisa, email ga direspon... 😌"
octaviany.rima,Kpn bisa d pkai untuk resume ny ?
htusadiah31,saya dari kemarin sdh bisa masuk.tapi sertifikat vaksin anak saya yg 1&2 malah ngak ada semua.sy bel call centetnya suruh cek secara berkala .tp kok sampai sekarang blm ada juga....pusing!!!
dionprabaya,"di Aplikasi PeduliLindungi sy menambahakan NIK anak di akun, setelah update aplikasi SehatSatu bisa login tetapi profil yg muncul nama lengkap sy bagian NIK yg keluar NIK anak. lihat sertifikat vaksin dengan nama sy yang keluar Sertifikat Vaksin anak. tolong min.. solusinya. trims"
natalinariska,"Sertifikat boster ke 2 cuma warna hijau,mau buka sertifikat gak bisa kenapa ya???mohon di bantu jawab"
iraonees,Saya malah di bug melulu tidak bisa masuk.. tidak ada perintah atau petunjuk dari aplikasi nya
elementals_308,"Alhamdulillah, sudah berjalan lancar lagi... Sertifikat Komplit semua nya.."
cakson,Tiket vaksin booster #2 ku hilang… besok mau vaksin.. 😢
zulfaaqilatunnisa,"Di aku hp Xiaomi kok ga bisa ya , mana mau buat perjanjian jauh"
wahyuupraatama,"Woy tolong jgn di ribetin lah gua mau cari kerjaan nih,nomor hp gua udh mati dan akun gua ga terikat Gmail jadi ga bisa login tolong jangan ribet dan susah kaya gini lah"
pinokio_xlptk,"Aplikasimu nge bug bosque, setelah di update tidak bs dipake sama sekali untuk masuk ke menu selanjutnya di samsung galaxy A51. Ga siap edar dan ga siap di publikasi aplikasimu ,,"
gendok28,Bar upate gk bisa di buka malah aplikasine
dharmaciptosandrio,Aplikasi enggak bisa dibuka
airaairaj,"Aplikasi gajelas. Emosi gue Anj, gue besok ada kepentingan mendadak jadi gabisa login. Mana no hp gw udah ganti, ribet!!!! Mending gausa ada aplikasi ginian deh ke tai."
ttinna11,Kode otp di SMS ko malah ga masuk2 ya 😭😭 aduhhh
rh1995hr,OTPnya lama amat haddeeh gk masuk2 ke nmr saya🤦🏻‍♂️
irene_1982,"Sudah login keluar tulisan nomor HP tidak terdaftar, email tidak terdaftar. Tai lah. Wkt msh pake Peduli Lindungi nomor HP, email tetap sama tidak pernah berubah"
fametakribs1975,Done
nicktjhen90,Tak perlu dihapus aplikasinya udh aktif tak berubah dan ttp sama kok
deboraariwahyuni,Tiket vaksin booster ke 2 punua suami sy ilang
saricepurnamasari,"Tiket vaksin tulisan nya luar negeri, padahal jelas dpt vaksin di Indonesia 🇲🇨🤔"
yamawahyoe,Sy sdh vaksin booster 2 tgl 21/2/2023 tp.sampai saat ini sertifikat vaksin g muncul di aplikasi peduli lindungi / satusehat.
sri_cahya26,Gmn sih bikin bingung orng aja.. sya udh masukin nomer email yang tercantum di pedulilindungi yang kmrn malah di masukin ke aplikasi baru malah error
arhan____al,Kenapa tiket vaksin boster 2 saya jadi gak muncul kak ?
ivnyyo,Sdh bisa login 👏 ..
sri_cahya26,Gmn sih bikin bingung orng aja.. sya udh masukin nomer email yang tercantum di pedulilindungi yang kmrn malah di masukin ke aplikasi baru malah error
dhedy_budiarto,Error trus😢
novi_agus88,Sertifikat vaksin 2  nya .. menghilang ... 😢
novi_agus88,*BOSTER 2
ivan.ekincheng,Ini booster ke dua kok hilang semua sertifikatnya
sarwops,"Setelah diupdate, sertifikat vaksin hilang. Sudah tidak diperlukankah @pedulilindungi.id ?"
frepas_cio,Setelah update Gak bisa masuk om di aplikasi itu
noraaaaaaaah_,Min kenapa hasil pdf dari sertifikat vaksin gabisa dibuka ya? Udah di install ulang juga hasilnya gabisa di buka
the_jack_parrow,Setelah di update malah tidak bisa log in
gastrofundamental,"Padahal development resource plat merah unlimited ya, tapi gelaran gk pernah smooth"
h3nnyth3a,Setelah update apps peduli lindungi..ko ga bisa liat  tiket vaksin booster ke 2 sih hilang min...cara'y gmn ya spy bisa ngeliat lg tiket vaksinnya
ucuyvw,Nama saya di sertifikat jadi salah lagi di satusehat padahal di peduli lindungi sudah diperbaiki 🤦‍♂️
yuli_saputro01,Tiket boster ke 2 jadi hilang
_fcarles,"Log in lancar, di cek NIK SALAH dan sertifikat BOOSTER tak ada"
rizky_aldi1993,Saya coba donwload sertifikat vaksinnya kok gak bisa ? Apakah ada yg mengalami kendala yg sama ??
normansyah1989,Min sistem ubah kartu vaksinny berupa gambar jpeg aj jgn pdf @pedulilindungi.id
ls.eka_cjl,Tiket booster ke 2 ku juga hilang
rossafiyantyii,Login udah bisa tapi tiket vaksin booster hilang apa harus vaksin lagi atau gimana ni? Tolong dijawab kak kami agak resah
hezronsihombing,Yg kmren aja komplen gak kelarrr sampe skrng...
sr_tarsisiamoya_osa,"Terima kasih banyak, punya saya lancar 🙏🙏🙏"
fr._.puji,Sudah di update tp gk bs dibuka
wnhrlnd,Kak @pedulilindungi.id kenapa proses pergantian nomer hp lama ke yang baru lama sekali gak selesai2 yaa
fristylita,"Serifikatku ilang, udah booster 2 tp kebaca booster 1 aja.. huhu gimana itu?"
titisekar,Sertifikat vaksin kagak ada
dewon_buburanda,"Tiket vaksin pas update kmarin smpat hilang, skrg kmbali lagi dari vaksin 1 sampai booster. Mantap"
djanatuly,"Min, sertifikat Booster Keduanya kemana min? Udh booster 2nd tapi gak muncul sertifikat wk"
benny72gar,"Kok sertifikat vaksin yang di peduli lindungi nggak ada yaa Min...padahal sdh lengkap sampai Booster kedua..mhn solusinya..Min, Terima Kasih 🙏🙏"
ristaverista30,Boro² login. Udh donlot trus malah ga bisa dibuka 😢😢
louiseromehilda,Akun utama malah berubah jadi NIK anak saya... Pdhl akunnya beda² dan di hp masing²... Ini gimana sih...
indra.budiwati,halo kak knapa tdk seperti apps sblmnya ini saya coba masukan data ibu saya namun tahun lahir nya hanya sampe 1945 … knp bs bgitu ? makasih 🙏
wnhrlnd,Kak @pedulilindungi.id kenapa proses pergantian nomer hp lama ke yang baru lama sekali gak selesai2 yaa
eskopidantipi,"Min, abis update aplikasi, tiket vaksin booster kedua malah ilang.. gimana tu min?"
yanny3100,Peduli lindungi saya ga bisa ke buka setelah di update sudah saya instal ulang 2 kali ga bisa juga
okisa_osika,"Min, saya sudah booster 2 beberapa waktu lalu, tapi belum ada sertifnya"
fery_anggriwn,Bagaimana yang lupa email dan nomor telepon @pedulilindungi.id
khaerendra_makhfudz,"kalau input Faskes I apa nanti apabila kita dirujuk ke RS selanjutnya apakah terbaca , atau kita misal langsung ke RS sebaiknya isi Faskesnya yang mana ..Terima kasih"
unokato,Saya sudah upgrade tapi gak bisa login .tiap buka aplikasi langsung keluar .gimana nih ?
frnssca.put,"mimin yang tersayang, saya sudah download sdh update tapi gabisa dibuka aplikasinya gimana yaaaa solusinya mohon diinfo secepatnya ya"
intan_ayu0593,"Email sama nomor hp lupa soalnya ganti nomor SM ganti hp , gi mana yah 🤦🏻‍♀️"
harrtati,Sudah 5x login gagal terus selalu habis sesi nya. Padahal blm 2menit. Mbok ya gak usah dibatasi waktunya  memasukkan OTP.
ratman9272,Alhamdulillah Sdh update dan gak ada masalah..
ipollwan10,Gak bisa masuk makin greget
nurmahdi96,Min sertifikat vaksin nya kenapa sekarang berubah tampilan nya kurang bagus
kusiman5102,"Hpku jadi g kuat,aplikasi terhenti"
diktapraba,"Siapapun tolong dong biar sertifikat vaksin booster pertama muncul, udah dari taun lalu belum muncul2 jugaa"
adekfary772018,Sudah ok sir❤️❤️❤️❤️❤️❤️❤️
jenleawaty,Saya sudah vaksin booster kedua tapi sertifikat blm muncul 😢
pai_yah,Yg di cari ini cari liat sertifikat faksin
ben.kumin,Tiket booster ke 2 saya jadi hilang...gimana tuh?
xiaoyingcxycxy,"Peduli lindungi saya uda ilang sejak booster pertama, ga tau napa ga bisa lg"
supry579,Tiket boster ke dua hilang min padahal hari ini sudah boster ke dua
adawiyah_arsyad,Saya gak bisa login. Kode OTPnya gak muncul2. Gimana solusinya?
yetty_221,apk perlu uninstal pedulilindungi dulu?
kurnia_agoes,Uda pembaruan... Pas mau di buka lngs force stop.... Kenapa ya?
suratmi8689,Sudah di unduh sertifikat vaksinnya... tapi tdk terlihat di galeri ..
moef_kyx,NIK ga dikenali... Kumaha iye... 😂
sofwanhidayat1475,"Update dari pedulilindungi ke satusehat, NIK dan tanggal lahir jadi beda.. Status jadi MERAH.. Padahal sudah vaksin lengkap dan booster.. Tanya ke WA yang tertera dan yang lain ga ada solusinya.. Bagaimana ini?"
billymsh,"Di Update malah gak bisa buka aneh, kenapa begitu ya"
setiowimbadi,Aplikasi gak bisa dibuka.. ERROR... Satusehat has stopped.. cara solvenya bagaimana?
andianni53,"Tlg bgmn klo hp hilang ,"
kurniatrie_03,"Udah update dan bisa masuk tp mau vaksin dosia ke 3 tiketnya kagak keluar min,,,kumaha"
yourloveonee,Kok blm bisa donlod sertifikatnya dah?
sukmaawantari,Otomatis peduli lindungi migrasi ke SatuSehat. Tapj masih bingung cara pakainya
hengky_chin_,Aplikasi Error.......error.......error.....error........error.......
francis_vandersmitte,Abis update semua ilang wth 🤦‍♀️ aplikasi bukan bikin mudah Malah bikin darting
heranawan011203,Tolong sarannya
uchikoshka,"Min, saya baru update ke SATUSEHAT. Di Peduli Lindungi sebelumnya saya udah ada tiket booster kedua. Tapi kok di SatuSehat saya ga nemu tiket booster kedua saya? Gimana ni min @pedulilindungi.id ? Kan klo mo booster kedua harus nunjukin tiket."
hendaboyz,Min kok Setelah update jadi satu sehat  tiket booster ke 2 hilang? @pedulilindungi.id
eyanguti_ety,Login no hp yg lm yg muncul akun anak gimn min?
aennayuliana,Maaf🙏 cara liat vaksin anak di dalam akun kita yg didalamSatuSehat. Itu apa yg ada  tulisan tambahkan Angkota baru? Apa gimana y🙏
jackyjonatantully,Kacau....aplikasi kalau seperti ini bikin kepala sakit saja mau penerbangan...tiba-tiba akun ku terganti nggak bisa masuk...parah keno
jackyjonatantully,Kenapa harus diupgrade yg bikin susah rakyat....kalau gitu...nggak usa deh update terus...malah data sulit diakses
esrachris3006,Tiket booster kedua vaksin COVID-19 saya hilang. Tolong perbaiki.
aennayuliana,"Enakan d pas pakai pedulilindung,semua tersusun rapih dalam 1 KK nama², la ini udah d satu sehat malah entah pada kemana nama² yg ada dalam satu KK nya 😢"
puskesmassungailasi20,Cara liat sertifikat nya gimana ?
jokolestari38,Terus bagai mana utk mengecek sertibikatnya
dadangbdg76,down loae application SATUSEHAT Mobile bagaimana caranya
dian_sabilla,"Kenapa setelah di perbarui dan akan masuk malah keluar sendiri, 😢"
fianstitet,Klo pnya q 1 nomor hp buat vaksin 2 orang.. trus klo mau di ganti sendiri sendiri gimana min.. bisa kan?
mahardika_k.a,Menu untuk akses ke sertifikat malah hilang 😢
iskefernando,"wes uwes koq, ora iso iso mbuka sing aplikasi anyar iki"
ninarimbawati,Pedulilindungi setelah di update mlh gk bisa dibk alasan berhanti sendiri kenapa min
phat2,Banyak bugs nya min. Tiket vaksin booster kedua ku ilang. Mau convert WHO juga ga muncul barcode nya. Wes2 lapo sih pake satu sehat segala
ivan_921112,Min mau tanya. No tiket booster kedua q kok gak muncul ya.. pdahl apk sblumnya no tiketnya muncul. Kok apk bru gk muncul
ermasani8,"Verikasi lwt sms , ga nongol sms nya bolak balik"
fj48_aja,"Mohon maaf,tapi sudah update ke yang baru malah E tiket vaksin booster ke 2 malah tidak ada lagi gimana min... mohon penjelasannya 🙏🙏🙏🙏"
onacrosh_145,Duhhh gimana aplikasi baru sertipikat ilang 😢😢😢 niat gak sih bikin aplikasi
yoga_ryurey,Gak jelas bet banyak bug.. Ampe sekarang aja tidak bisa log in bahkan di website peduli lindungi sendiri masih MT @pedulilindungi.id mana penanganannya?? Bukan janji hoax belaka..
kristiawan_andy,"malah ga bisa login sama sekali ,bgmn ini? malah disuruh send feedback"
abetloading,"Update aplikasi, kirain ada perubahan di NIk dan nama anak, ternyata masih sama"
kim_jisoot,"Tolong dong ini saya ngebug di tulisan satu sehat gabisa masuk ke menu login, padahal saya lagi butuh buat lamar kerja.... mohon diperbaiki"
dinenta,"Selamat siang. @pedulilindungi.id @kemenkes_ri Di aplikasi peduli lindungi setelah sertifikat vaksin pertama Janssen, bisa muncul sertifikat Booster pertama Moderma. Tapi setelah di update SatuSehat, vaksin Moderma tsb berubah tertulis sebagai vaksin kedua, bukan Booster pertama. Mohon penjelasannnya."
arsanti_utami,Log in pakai email tapi kode verifikasi ga dapet2 ..
danil_aja110,Jawaban Ga nyambung. Saya kesulitan Login.
diana.kiimmy,"Saya udah update dan kaget, tapi tiket vaksin booster 1 saya hilang??? Kenapa????"
rut_christiani,Kalau ganti nomor HP karena hangus bagaimana ya Min?
vick_yant,"Baru update, dan gak bisa masuk di ios 😢"
han.store_official,Bales DM saya dong min
uwaisal702,Udh coba berapa kali ttp ngga bisa masuk hadeh pdhl udh boster
margaretalilin,"Min, status vaksin saya warna merah belum vaksin, padahal udah vaksin booster 1 , udah ngikutin langkah² yg di sarakan tapi ttp aja sama enggak berubah min"
ade_khaerudin_taufiq,data vaksinasi saya jadi hilang
uyudd___01,"Hadeuh lu pada niat bikin app gak? Mangkanya setiap dana jangan lu pada potong , jadi gini app nya setengah setengah. Ga bisa masuk sampe sekarang,, minta tolong customer service cuma bilang maaf belum bisa melayani ,"
syahputra188175,Masih parah...👏👏
djoel_jogja,Ga bisa log in tiap kali mau log in selalu keluar sendiri keluar sendiri begitu seterusnya.. payah
mynameisrossa11,"Bikin ribet aja kudu masukin no hp lama yg dah kepake, jd ga bs log in"
afrianti_nia,"Mau login malah disuruh registrasi , gimana ceritanyaa🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️"
ranggaindianto,"Serifikat vaksin anak-anak saya yang sebelumnya ada di akun pedulilindungi saya, sekarang hilang semua setelah update ke satusehat, bisa dibantu kah admin @pedulilindungi.id ?"
dewijumiati,"Gak bisa, gak ada koneksi internet trs keterangannya"
dina_review,Cukup baca komenan aja 😴
eddie.riyanto,Ember plastik
sat_strwb,"Aplikasi cacat, ga bisa masuk masuk, minta diganti nomor aja gak ada tindak lanjut & solusi, hadehhh"
hartantosylvia,"Tidak bisa diperbarui & update otomatis ke satusehat , karena aplikasi pedulilindungi milik saya terhapus dari HP"
mas_nino10,Gak bisa dibuka.. diem aja di halaman awal
j.y.m.y.j,Cuman mentok di log in😂
faizahnopp,MENGECEWAKAN. GILIRAN DI UPDATE MUNCUL LOGO DOANG TRUS BERALIH K PENGATURAN DAN PENGATURANNYA HITAM TIDAK JELAS
cruty.time,@pedulilindungi.id kalo nomor hp sudah tidak aktif gimana ya kak
sy.a01.21,"Sy sudah update aplikasi tapi malah tidak bs dipakai. Sudah masukkan email tp kode OTP tidak masuk sm sekali. Sampe ad 3 jam sy coba trs ttp nggak ad. Sy delete - instal lagi ttp nggak bisa. Coba di hp suami jg ttp nggak bs masuk kode OTP di email sy. Malah aplikasi peduli lindungi lebih baik fiturny. Kenapa sih kaau sudah baik mesti diganti” dan ujung”ny selalu begini. Sungguh mengecewakan. Layanan kemenkes di Whatsapp jg tdk membantu sama sekali, sy coba chat 3x pilih menu ini itu endingny “tidak bisa melayani”. Layanan pemerintah bukanny mempermudah malah mempersulit. Astaghfirullahaladzim 😶😶😶"
asybloem,"Admin maaf tolong tanggapannya ya, saya tidak bisa masuk akun terkendala di bagian verifikasi kode karna tidak ada SMS yang masuk ke nomor nya @pedulilindungi.id saya juga udah coba lewat email dan wa namun gak ada jawaban"
username,komentar
arelgunawanp,"Min, saya sudah vaksin 2 kali di 2021. Pas 2021-2022 normal"" aja sertifikat vaksin muncul dan status vaksin benar. Tetapi setelah aplikasi pedulilindungi beralih ke satusehat sertifikat vaksin jadi tidak muncul dan status warna vaksin jadi merah."
mj_makmurjaya,Trus bagaimana cara mengubah nama yg salah di sertifikat vaksin??
intansaki,Ini sampai kapan aplikasinya bener sih? Mau dipakai naik pesawat minggu depan jadi deg-degan gini boosternya ngilang. Ganti aplikasi kalaupun maintenance tuh sehari dua hari aja. Ini udah berapa hari bikin pusing orang yang butuh pakai. Ga nyimpen soft filenya kirain selama ini aman2 aja eh malah zonk
hanaerry,percuma kirim pertanyaan di email tapi tidak ada respon
cosmas3202,Donlot berhasil … ksimpennya dimana min??
octaviana.yaaa,"Ayo kita hujat sama2, ketika keluhan tidak didengarkan dan saran tidak dimaksimalkan"
ella.alvena,"Ini pemerintah knp hobby bgt gunta ganti dah, bikin pusing 😂"
ahmadbisri99,Nik malah gk sesuai ktp padahal sebelum update sama
viehartati,Data saya malah hilang ga bisa masuk ke aplikasi...diminta daftar tapi pas daftar katanya data sudah ada...gitu aja terus sampe ketupat berbentuk bintang
adawiyah_arsyad,Masih belum bisa login. Padahal pake no.HP yg sama dgn PeduliLindungi. Kode OTP gak muncul 😢
nuriljannah85,Alhamdulillah udah bisa min ... Tadi nya mau nanya ini soalnya ga tau hasil download nya kemana ini tak cari² koq ga ketemu ... Tnyta di file manager...😂
indriya_ag,"Sertifikat tdk bisa di unduh,sdh di coba berulang kali"
anies_pandujati,"Mau Lapor Kak Admin @pedulilindungi.idNama di sertifikat vaksin saya salah penulisan nama, padahal waktu di aplikasi Peduli Lindungi sudah benar, tapi yang aplikasi yang baru ini salah penulisan nama"
milana.lau,"Ada kendala, lapor ke no WA yg tertera, tapi ga ditanggapi...cape aja bolak balik nanya 😔😔 @pedulilindungi.id"
nur_wagiman,"@pedulilindungi.id maaf mau tanya,bulan 11 saya booster ke 2 di ln.Saya sudah input ke aps pedulilindungi tp keliru masuk tanggal dan jenis vaksinnya,gimana ya cara mengubah data?"
agris_ptr,"Masih aplikasi peduli lindungi NIK dan sertifikat benar, berubah aplikasi NIK & sertifikat salah gimana nih min"
dsy.fitria,"min gimana nih solusinya karena ga  bisa login soalnya nomer yg kedaftar sudah hangus, dan emailnya ga kedaftar juga?"
delipp_,"Info dongg, perjalanan udara lokal masih harus scan aplikasi ini ga sih?"
erfaneffendi9220,"Ini katanya hanya 1-3 Maret eh ini malah bablas. Kayaknya Lom siap. Banyak yang terkendala di lapangan gara"" integrasi ini. Semoga cepet pulih"
milana.lau,Ini gimana lagi..disuruh update ke versi terbaru tapi setelah diupdate malah tidak bisa dibuka sama sekali 😂😂
evansamudro,saya sudah vaksin booster kemarin lusa tapi data belum masuk
anvmegaselv_,Sudah update peduli lindungi menjadi aplikasi satu sehat sertifikat vaksin lengkap ada 4 walaupun tampilan sertifikatnya berbeda setelah diupdate ke aplikasi satu sehat
r.wulan.s,Bagaimana cara mendapatkan tiket itk booster kedua? Sudah lebih dr 6 bln dr booster pertama
zenis_syah,"Biasanya sertifikat vaksin langsung muncul setelah vaksin ini aku udah 2 hari belum muncul kenapa yah, apa memang ada masalah atau harus nunggu lagi"
noraaaaaaaah_,"Diunduhnya berhasil min tapi pas dibuka file pdfnya gabisa, kira2 kenapa ya?"
rony.sanjaya.officially,Sabar teman teman. Saya juga mengalami hal yang sama sertifikat booster 2 ilang tapi tak biarin aja karena beberapa hari kemudian semuanya kembali normal. Malah saya happy karena saya bisa memasukkan data istri saya sehingga sertifikat jadi satu dengan suami lebih praktis. Yang namanya integrasi memang butuh proses karena data yang disinkron juga tidak sedikit. Semoga semakin praktis dan membuat kita semua lebih mudah mengaksesnya.🙂
framesta05,Mohon maaf nih ya min saya mau merubah nama di sertifikat vaksin karena tidak sesuai dengan data gimana caranya ya sudah saya coba  chat di WA tapi tidak ada respon
kamala.atyas,Tiket booster kedua tetap belum muncul kembali 😁
ariftiapratama93,"Diapk versi lama booster ke 2 saya udah muncul, kenapa di apk versi baru tiba2 undangan booster ke 2 hilang 🤣"
amel_liayuli,NIK saya tertukar dng adek saya
mrsfs_1213,"Saya update malah data sertifikat saya hilang, di aplikasi sebelumnya ada dua sertifikat saya dan anak saya. Setelah update ke satu sehat , yg ada hanya sertifikat anak saya, sertifikat saya ga ada, tiket vaksin untuk booster dengan data saya pun ga ada. Ini di sosialisasi suruh update ke aplikasi baru, tapi malah ngaco hasilnya. Mau komplain via wa juga jawabnya pakai sistem, yg mau ditanyakan aja ga ada pilihannya, cuma muter2 aja suruh klik ini klik itu. Tolong dong gimana ini jadinya kalau data sertifikat saya malah jadinya hilang. Aplikasi belum bisa di gunakan tapi udh di sosialisasiin buat di instal sama masyarakat. Bener² kecewa banget deh sama aplikasi peduli lindungi dan satu sehat ini. Di peduli lindungi kmrn data vaksin kedua saya ngaco, jadwal vaksin dan jenis vaksin saya yg tertera di aplikasi salah dengan kenyataan nya. Waktu itu saya blm vaksin kedua tapi malah udh ada sertifikat nya di aplikasi, udh berkali kali komplain soal itu ga di respon, skrg ditambah update aplikasi malah data sertifikat vaksin saya hilang di aplikasi nya. Solusinya apa nih ?????"
zeefeyza,Kecewa aq min😢terngiang-ngiang knp pas wktu sdh suntik gak donlod file sertifikat vaksinnya kn bisa buat kenang2an
franchia_arzhevaty,Maaf ni ku rantau Kalimantan..booster 1 ..DI PUSKESMAS S.PARMAN BANJARMASIN..dan mau pulkamp ke Jawa... Ko ga bisa di entry knp min.. kan perlu sertifikat di aplikasi ini 😢😢 gimna donk... Biar lega kalo naik KAI DAN PSWAT ..BIAR PLONG..
princeyadhipurnama,Samsung Galaxy J7 Prime gak bisa masuk aplikasi mental terus keluar nah.....
azooela,Nunggu sebulan aja deh saya mah baru update dan login lagi ... Siapa tau migrasi datanya sudah sempurna biar ga emosi jiwa login pake nomor hp jawabannya silakan registrasi ulang terus ...🤨
